,komentar
116,Kau enak enak buat kesalahan terus masyarakat indonesia kau minta tanggung jawab
117,"usg bisa, biaya lahiran ga sanggup / pura2 ga sanggup. konten jalan terus. selucu itu org didunia ini"
118,"Denis betapa miskin nya jiwa mu mau lahiran scc gak punya duit ngemis2 secara online kau gak malu ama status mu yang katanya pengusaha bunga??? Bahakn berhrap 1 M banyak orang2 miskin yang sehari hanya makan 1 kali tapi mereka tetap mau ,bekerja. Dei pda jdo pengemis ko saya sesama perempuan malu tuhan memberi tubuh yang sehat tapi kmu berhrap kamu itu sakit"
119,Urat malu dah putus.. Liat noh yang buat lahiran normal aja kaga sanggup.. Pakai BPJS.. engga minta2 kek lu
120,"Orang kaya ngemis"" baru denger"
121,Buset dibayar endorse nya dari kapan baru sekarang dipostingnya Karena takut ganti rugi yah
122,Katanya orang kaya kok ngemis ke netizen
123,yang berbuat siapa yang bertanggung jawab siapa lain
124,"kirain goblok, ternyata goblok banget"
125,Teruslah bikin malu sampai dirimu lelah‚
126,"GAYA ELIT LAHIRAN SULIT ‚ KATANYA ORANG KAYA, MAU LAHIRAN KOK MINTA MINTA ‚"
127,Dulu kk koar koar sombong org kaya makan nya ini itu org kaya tujuh turunan „ sekarang buka donasi ‚ makanya kk jangan tinggi banget ngomongnya malu ama yang lebih diatas kk
128,Nanti cacingan udah di cek belum . Wkwk
129,"Cuma ni manusia yang bangga hamil gak ada laki, minta donasi biaya hidup lagi ‚ yang  temannya ngewe siapa, minta biaya hidupnya sama siapa "
130,"Ha yakin saya Authentic, kalau jual palsu ngaku asli berarti penipuan tuh"
131,"Kok gitu kulit perutnya, ga semulus foto bikini seperti biasa"
132,"Sebenarnya bukan hamil tanpa suami, tapi hamil sebelum NIKAH.. ‚"
133," Lu lg susah aja masih sombong, omongan masih tinggi, ngidam makan hbs 1 jtaan sekali makan, terus yang nanggung makan lu minta sama org2‚ zaman2 lu buka aib suami ayu dewi lu musuhin teman2 lu karena mereka nasehatin lu biar ga koar2 tentang perselingkuhan lu, tapi lu ga terima dan memeutuskan pertemanan sama mereka, sekarang lg susah nyari teman2‚"
134,"DULU NYA SELALU BILANG"" GUYS MAU PAMER"" Eh ternyata galang dana buat lahiran wkwk"
135,donasi untuk orang yang dulu menyombongkan semua hartanya?? HAHAHA
136,"Ketika Urat Malu Sdh hilang,.seperti ini nih"
137,Knp cari teman lu? Bknnya dulu uya lu maki2? sekarang lg susah lu cari
138,"yang bikin zina siapa, yang nanggung persalinan siapa. kalau benar itu ada donasi..... Kalian pada sehat.... Mending donasi orang yang jelas tidak mampu."
139,Dia yang ngewe Netizen Pada Donasi ‚ nanti ngewe lagi Donasi lagi Terus Gitu ‚
140,Haha open donasi udah miskin mbak ? ‚
141,Wkwk Dulu kamu menghina orang miskin sekarang kamu minta tolong ke orang miskin kaya sederhana untuk biayain anak hasil luar nikah..... Emang nya kamu sebenarnya sultan atau lagi Negemis si karena uang mu habis 
142,syukurin tak ada satupun teman artis membantunya saat open donasi ‚‚ #karmalagi
143,"ngewe mandiri,udah jadi minta tanggung jawab se-Indonesia wkwk kocak"
144,"Gaya elit, lahiran sulit"
145,Sungguh membingungkan lagi live dia cukur bulu ketek ‚ tidak sekalian cukur bulu jembut 
146,"Baju beli disingapura ,diluar negeri tapi buka donasi. ¸"
147,"Biasanya ""makanan orang kaya nih gaes ,kalian ga bakalan mampu beli"" giliran gini bilang gapunya duit , gapunya otak namanya"
148,Mana katanya hamil kok gak besar perutnya
149,"Ga terharu sih, lebih ke miris"
150,"bikin anaknya ga inget agama, uda kejadian terus open donasi bawa bawa dalil, miris.."
151,"donasi? bukan di video lo sering bilang ""orang kaya mau makan ini itu"""
152,Kalau jaman dulu anak diluar nikah pasti malu & ditutupi' tapi sekarang malah di umbar2' miris banget
153,kok ga malu sih kak
154,"bawa bawa tuhan giliran pas ngewe ga inget tuhan, kadang manusia selucu ini wkwk"
155,"yang ngasi gabut, mending kasi ke org yang lebih membutuhkan"
156,ngakunya orang kaya kalau liburan ke luar negeri tapi kok minta sumbangan?
157,akun ini wajib di blokir sih
158,Ngewe nya ga minta ramai2 pas mau lahiran minta ramai2 nyumbang. Waras?
159,"Kita memang miskin tapi kita ga pernah buka donasi, siapa tau anda begitu karna omongan anda sendiri"
160,"Bikinnya Sendirian, giliran udah jadi anak yang tanggung jawab harus ramai2, sampai open donasi hahalucu nih perempuan mana ngutip ayat segala, terus pas ngewe ngga inget dosa Mbak!!!"
161,"Katanya orang kaya, tapi ko minta donasi juga dari Netizen‚‚‚"
162,Tombol absen buat yang sudah report ----
163,aku sudah report akun ini¸
164,gk ada malu nya ni orang. saya rasa urat malunya benar2 dah putus
165,tombol blokir
166,"katanya orang kaya kok lahiran aja minta"" donasi, gak malu tah"
167,"Pas ngewe nya ga minta bantuan, sebaliknya hamil minta di bantu …"
168,Anjir dikatain miskin gara gara ga nyumbang 
169,‚ Gak tau malu anjing
170,"Bukannya dulu dia suka pamer harta, foya foya sama ngatain orang miskin ya wkwk karma does exist ig …"
171,saya kira Udah waras ternyata masih gila....
172,Makin YAKIN saya UMUR DUNIA HANYA 1500H hanya tinggal 1 atau 2 generasi lagi menjelang Dajjal turun
173,KATANYA ORANG KAYA TAPI NGEMIS ONLINE CHUKAS WKWK
174, waktu ngewe ga inget alkitab
175,tombol report dan blokir --------------------
176,"giliran gini aja bawa bawa ayat alkitab, pas ngewe gak ingat "
177,ngewe mandiri pas jadi di suruh patungan
178,"Ini adalah contoh pembodohan publik. Sangat miris diupload. kalau dilihat anak anak bangsa yang masih kecil dan remaja gimana? Nanti dicontoh seenaknya hamil lalu minta dikasihani masyarakat. wkwk miris, itulah pentingnya pendidikan dari segala aspek."
179,Beliau yang ngewe… kami yang donate??? WTFF
180,Suruh siapa ngewe?
181,"Dih kek begini bawa bawa agama, najis"
182,kalau ada yang donasi sama2 gak waras
183,ngewe nya mandiri pas jadi netizen yang disuruh patungan 
184,Tombol ogah ngasih bantuan ----------------
185,Gak coba buat gugurin tuh hamil ghoib
186,"Janjinya bikin konten bulan desember tahun lalu, sampai sekarang gaada wujudnya uang juga ga di balikin"
187,tolong tanggung jawab sama @isabeauty.skincare pilih balikin uang atau penuhi konten lu.. Jangan duit aja lu embat.
188,"Lah bisa nyalon, lahiran minta open donasi. Lawak lo wkwk"
189,"Treatment rutin tapi kok open donasi bumil buu,,,,, "
190,Uang donasi nya pakai perawatan ‚
191,oh ini alasanya minta donasi.. buat medi pedi miris
192,NYALON LANCAR TAPI OPEN DONASI !!! EROR banget SIH INI OTAK  NYA\
193,"Treatment bisa, buat anak sendiri patungan"
194,"aduh jujur aku ksihan sama anaknya nanti, masa iya demi anak harus minta donasi, tapi kalau untuk perawatan mama nya bisa pakai uang sendari pasti nanti sama anaknya perhitungan nih kasihan anaknya"
195,"Wkwk buat treatment ada duit, giliran anak hasil perbuatan sendiri malah minta donasi, lawak bocah ‚"
196,Lha ini bisa treatment… kok open donasi???
197,Takutnya donasi nya tuk bayar utang atau tuk perawatan nya
198,Donasinya buat perawatan beginikan kak maksudnya
199,"Sayangnya palsu , mau lahiran aja nggak rela ngeluarin uang sendiri sampai harus open donasi"
200,Maaf saya tidak yakin anda ibu yang baik. Sorry for the ugly truth ya beb
201,"Punya anak haram ( di luar nikah) ko bisa bangga dan gak malu ya, apa udah putus urat malu nya ? Heran saya sama manusia kek gini, dikira bukan aib apa gimana ? Sorry ya bukanya saya so suci atau gimana, saya juga masih sering ngelakuin hal hal yang berdosa, tapi saya gak pernah ngerasa bangga ngelakuin itu, yang ada saya nyesel saya malu sama tuhan saya, lah ini  dengan pededednya mengumbar umbar aibnya sendiri,, emang ya manusia kalau udah gapunya urat malu kek gini..."
202,Dari akhir tahun sampai sekarang gaada iktikad baiknya capek banget nagih2
203,"Hamil nya settingan gg sih .. ko gg kelihatan besar perut nya .. walaupun pake baju besar"" kalau hamil pasti kelihatan"
204,"ya terserah lu si,mau hamil apa tidak, netizen cuma ilfil aja ama kelakuan lu yang hamil tanpa suami tapi bangga"
205,perawatan mewah tapi buat lahiran gak mampu
206,Perawatan aja bisa. Mau ngelahirin minta donasi?
207,perawatan elit‚ mau melahirkan minta donasi‚‚
208,"emang dia Artis ya sejak kapan di angkat artis ??, bukannya dia tukang ngerendahin org ,, tukang pamer2 kesombongan gtu ??"
209,Ini ni GAYA ELIT.. LAHIRAN SULIT‚
210,"settingan ni orang keknya, narik simpati netizen seolah2 dia paling tersakiti"
211,orang kaya kok ngerasa pahit..
212,Ada ya yang bangga hamil diluar nikah terus di post mulu?
213,Jadi kemarin pacaran cuma minta ngewe aja ce
214,"baru kali ini Nemu orang hamil bentar2 dikontenin,. Kan gak ada bapaknya... Kenapa bangga banget ya... "
215,"Astagfirullah… hamil diluar nikah di umbar2, malunya dimana yah? demi uang mempermalukan diri sendiri"
216,"Kenapa dia bangga sekali iya hamil tanpa suami , tidak punya keluarga ato gimana ni orang"
217,Katanya tobat ke jalan Tuhan tapi tetap aja hamil diluar nikah¸ benar2 mempermainkan pertobatan
218,Kasian banget hidup ini cewek.. abis buka aib mantan eh mau pamer pacar baru bunting eh di tinggalin..
219,Mana nih fans2 bodoh yang hobi teriak password 'jangan menghakimi'?. Plus mengutuk orang yang bully junjungannya hobi zina
220,Didunia ini emang gaada manusia yang sempurna tapi minimal punya rasa malu
221,berzina saja bangga.. malu kita anak tuhan
222," hamil dan pamer kehamilan yang jelas2 gak TAU SIAPA BAPAKNYA , apa enggak kasian sama anaknya nanti , pasti di tnya BAPAKNYA mana ?"
223,gimana caranya biar pede aja hamil ga dikawin? kalau saya uda di kutuk kali wkwk
224,Hamil sama siapa sih bapaknya gak ada
225,Aib yang dbongkar sendiri kemarin belum saya kunyah... ada lagi aib baru... org ga malu ya kayak gni
226,"Nikmati proses nya kak, seperti menikmati saat ngewe nya ‚"
227,"kemarin ke gereja sekarang sahur, agama aja ga jelas pantes hidupnya jg ga jelas"
228,"Hah… gak kuat bayar??? Beruang yang lo bangga2an kemana ‚‚‚ makanya gak usah terlalu lebay kalau ngomong, makan tuh honeymoon 1th  gubrak"
229,"Ah ternyata gaya2 mau beliin si Razman mobil, banyak utang di mana2."
230,Jual ya jual aja.  Kagak usah caption jual mobil buat lahiran secar.  belum kejadian dah ngomong amburadul. Bikin konten bahasa kok horor mulu den.
231,"udah honeymoon berbulan (gatau udah nikah apa belum) terus hamil, lah balik jakarta ngoceh lg gedein anak sendiri. Gajelas wkwk "
232,Dulu mah malu banget ya kalau ketauan hamil diluar nikah sekarang mah kaya biasa aja di kalangan publik figur
233,yang tengah cuman bisa pamer dan menghina org aja.
234,Hamil kok beli pembalut.. di lempar2 pula. gak mendidik anjing
235,Nikah belum tapi udah hamil. aNak haram gak tuh
236,aib kok di umbar dengan bangga nya 
237,"masih mending NM ya hamil tapi resmi walau akhirnya cerai jg ‚,,, denis lama2 lebay dan aneh caper nya"
238,"Postingin aja terus, paling 13 tahun lagi anakmu sedih liatin foto mamanya seperti gitu syukur2 kalau gk di bully karna malu sama kelakuan ibunya"
239,malu sendiri saya dah liat nya  gk di lihat penasaran
240,malu banget hamil doang ditinggal kabur ‚‚‚ 
241,wkwk kasian banget ambisi mau memiliki regi sampai koar koar bunting di sosmed.
242,"rejeki seluruh jagat raya, karena rezeki bukan sj harta, tapi rezeki maksiat "
243,Baru kali ini lihat cewek baju terbuka tapi gak ada seksi2 nya.. kasian‚
244,"Kok badanya nggak sexy sama sekali,,, penuh lemak‚‚‚"
245,Balik jakarta bunting lo ‚
246,Bodynya jelek kok pede ya
247,Belum pernah lahiran tapi paha nya udah berantakan banget kayak strechmark
248,Ga usah begitu kalau ga hobby work out badannya kendur semua
249,Mbak tolong ya ditutup itu bagian bawah karna mataku jadi ternodai
250,Pahanya kok begelombang
251,persis kek orang gila pas dia lompat2‚
252,"Heran, Cowonya bajunya itu mulu kaga ganti2"
253,Kok kayak emak anak 4 yak kayak emak saya anak 4 badannya bangetu
254," jangan pakek bikini dah soalnya body mu ambyar kunyur kunyur,, mending pakek bikini yang gak bikini2 banget gituu"
255,Zina maksiat dianggap hal biasa naudzubillah
256,"Abis di lepeh di jilat lg jijik, laki gak punya harga diri."
257,"sekarang modelan lu dah kaya baju kaga di strika, butek amat kusut‚‚"
258,Malas apalagi bos nya kaya lu gak jelas
259,bunga bangkai atau prangkai
260,"Ganti suami kak biar selesai masalah nya, soalnya berdasarkan podcast dr richard ladang masalah nya tuh suami"
261,Tombol cancel tasyi dr sosmed!
262,"DARIPADA BAYAR PENGACARA, MENDING PERBAIKI MANAJEMEN FINANSIAL KANTOR DAN KARYAWAN AJA "
263, kalau denger syekh ma tasyi ngomong kayak dizholimin banget tapi gak sadar kalau ngomong jg nyelekit nyakitin hati orang ..syekh sadar syekh gak perlu ngomong keluarga gak ada yang bela bla bla segala macem nyinyir banget sih syekh mulutnya.. 
264,Anjir ex karyawan ada bukti loh ga cuma omdo pers konferns nih kok dia pede banget padahal salah
265,Sadar gak lo itu udah dzolim telat bayar gaji aja sdh dzolim ... merasa paling islam tapi kelakuan gak islami
266,Setega itu sampai merusak barang pribadi karyawan
267,CANCEL CULTURE AJA LAH capek banget dramanya ber part part
268,"Udah plis jangan hujat tasyi, capek saya likenya "
269,ngakunya ngerti agama tapi hobinya ria. wkwk
270,Si paling terdzolimi wkwk
271,Tas nya jual aja ga si kalau ga mampu  bayar kariawan tepat pada tanggal nya
272,suami loh sudah menjerumuskan lo di fikiran dan hidup yang salah ya tasyi. heran deh
273,"Makanya mbak kalau ada masalah diselesain dibelakang kamera aja, terus kalau ngomong jangan suka sombong masak ngak ada rumah 1M noh rumah saya orang kaya kampung harga rumah juga 2M itu Uda paling mewah menurut kita orang biasa"
274,Kerja syuting keluar negeri terus ga dikasih makan karena mahal itu gimana konsepnya
275,Gaya selangit bayar karyawan sulit
276,"ohh ini org paling pelit, biar outfit dan penampilan selalu cetar"
277,"Unboxing elit, ngasih makan pegawai sulit"
278,Geli banget sm suara kuku asmr nya langsung tak skip takut
279,"saya gregetan banget, harus banget diketok2 ya barang2nya, alay banget norak"
280,"Suaminya mana, lihat nih istrinya riya mulu "
281,Hisabnya banyak banget ini
282,apapun makanannya minumnya ludah sendiri.
283,"Bayar gajian karyawan woy. Sudah salah itu minta maaf. Bukan playing victim, bikin malu aja deh lu"
284,si paling ngancurin usaha orang hahahaha
285,Tasyi mending pake stylish deh buat pake baju mohon maaf norak banget dandanannya
286,Suami nya gak ngasih tau kalau kaki bini nya tuh aurat yang harus ditutup juga ??? kAtanya syekh? Syekh bodong kali
287,"Captionnya kureng kak, yang benar tuh Tasyi gapernah salah Athasyia wkwk jadi orang kok gamau mengaku salah"
288,itu sendal nya kekecilan loh sadar kamu gendut
289,pasangan redflag playing victim banget wkwk
290,Katanya ga bakal seruangan sm yang ada laki2nya selain suami ini kok?  ke acara keluarga sendiri tidak datang malah leboh milih sm org lain
291,Kamu keterlaluan mbak sebelum ngatain dagangan org jiplak minimal cari tau dulu lah kasihan itu usaha org lu matiin
292,Geli liat sytlenya si habib alay¨¨¨ maaf ya non teci
293,kaya nya ni orang salah pilih suami wkwk
294,"Ngebayangin tasyi , suami dan anak2nya pada makan enak terus tim nya pada ngeliatin mereka makan sambil nunggu sisaan makanan mereka"
295,Karyawannya ga diajak makan tuh ya? Pasti dikasih makanan sisa
